URL,Organisatietype,Organisatie,Suborganisatie,Afdeling,Bezoeken/mnd,Voldoet,Totaal,IPv6,DNSSEC,HTTPS,CSP,RefPol.,X-Cont.,X-Frame.,Testdatum,Totaal,IPv6,DNSSEC,STARTTLS en DANE,DMARC,DKIM,SPF,Testdatum,Platformgebruik
http://www.cbg-meb.nl,Overheid,VWS,CBG,,156980,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.nationaalarchief.nl,Overheid,OCW,NA,,147990,,nee,ja,ja,nee,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,ja,ja,ja,nee,ja,13-2-2023,
http://www.arboportaal.nl,Rijksoverheid,SZW,,DGW/G&VW,143441,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.higherlevel.nl,Rijksoverheid,EZK,RVO,,140206,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,
http://www.p-direkt.nl,Rijksoverheid,BZK,P-direkt,,120493,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.bigregister.nl,Rijksoverheid,VWS,CIBG,,116226,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.kiesraad.nl,Overheid,BZK,Kiesraad,,115454,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.algemenebestuursdienst.nl,Rijksoverheid,BZK,ABD,,114534,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.regelhulp.nl,Rijksoverheid,VWS,,,112118,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,15-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.vananaarbeter.nl,Rijksoverheid,IenW,,BSK/DCO,111309,ja,nee,ja,nee,ja,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,nee,,ja,nee,nee,13-2-2023,
http://www.schadedoormijnbouw.nl,Rijksoverheid,EZK,IMG,,110670,ja,nee,ja,nee,nee,waarschuwing,ja,ja,ja,20-2-2023,nee,ja,nee,,ja,nee,nee,13-2-2023,
http://www.igj.nl,Rijksoverheid,VWS,IGJ,,106752,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.dji.nl,Rijksoverheid,JenV,DJI,,104497,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.caorijk.nl,Rijksoverheid,BZK,,DGOO/A&O,103847,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.mijnpgb.nl,Rijksoverheid,VWS,,Kerndepartement/PG,101341,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.ssc-ict.nl,Rijksoverheid,BZK,SSC-ICT,,92139,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,ja,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.onderwijsinspectie.nl,Rijksoverheid,OCW,OI,,91564,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.werkenbijdeoverheid.nl,Rijksoverheid,BZK,P-direkt,,90209,ja,ja,ja,ja,ja,waarschuwing,waarschuwing,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Carriere Sites Overheid (BZK)
http://www.huurcommissie.nl,Overheid,BZK,HC,,87703,,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
http://www.rvig.nl,Rijksoverheid,BZK,RVIG,,86597,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,20-2-2023,ja,ja,ja,,ja,,ja,13-2-2023,Platform Rijksoverheid Online (AZ/DPC)
